
:->   6524177 µs

:->   6391938 µs

:->   6139343 µs

:->   6204101 µs

:->   6227113 µs

:->   6178830 µs

:->   5235860 µs

:->   5797771 µs

:->   6437475 µs

:->   6048709 µs

:->   5767883 µs

:->   6444320 µs

:->   5356119 µs

:->   5178565 µs

:->   5624025 µs

:->   6380290 µs

:->   6354798 µs

:->   6416789 µs

:->   6353184 µs

:->   6264188 µs

:->   6304763 µs

:->   6257492 µs

:->   6437103 µs

:->   6320364 µs

:->   6360397 µs

:->   6520993 µs

:->   6585165 µs

:->   6334095 µs

:->   6004821 µs

:->   5942464 µs
