
:->    835062 µs

:->   1410377 µs

:->    986790 µs

:->    557762 µs

:->   1202081 µs

:->    767183 µs

:->   1352048 µs

:->    929832 µs

:->   1505761 µs

:->   1081506 µs

:->    645021 µs

:->   1232407 µs

:->    780665 µs

:->   1352212 µs

:->    939402 µs

:->   1497253 µs

:->   1050973 µs

:->    613792 µs

:->   1179703 µs

:->    736143 µs

:->   1308529 µs

:->    870306 µs

:->   1427936 µs

:->    987494 µs

:->    563460 µs

:->   1139869 µs

:->    692514 µs

:->   1323611 µs

:->    927486 µs

:->   1515222 µs
