
:->   3852833 µs

:->   3740661 µs

:->   3680281 µs

:->   3429926 µs

:->   3293097 µs

:->   2941783 µs

:->   3919281 µs

:->   3806849 µs

:->   3617842 µs

:->   3342059 µs

:->   3079476 µs

:->   2852724 µs

:->   3906712 µs

:->   4100288 µs

:->   2941233 µs

:->   3826018 µs

:->   3743070 µs

:->   3480741 µs

:->   3566301 µs

:->   3540756 µs

:->   3486326 µs

:->   3300634 µs

:->   3127832 µs

:->   2931346 µs

:->   3875566 µs

:->   3617290 µs

:->   3440771 µs

:->   3357160 µs

:->   3303167 µs

:->   3150785 µs
