
:->    836747 µs

:->   1131811 µs

:->    428441 µs

:->    720793 µs

:->   1011416 µs

:->    327584 µs

:->    634860 µs

:->    964572 µs

:->   1252401 µs

:->    544013 µs

:->    840949 µs

:->   1129766 µs

:->    415701 µs

:->    702146 µs

:->    993122 µs

:->    277991 µs

:->    564314 µs

:->    848176 µs

:->   1153281 µs

:->    446539 µs

:->    739618 µs

:->   1033215 µs

:->    344344 µs

:->    650350 µs

:->   1088354 µs

:->    402937 µs

:->    743533 µs

:->   1057573 µs

:->    357401 µs

:->    675564 µs
